"filename", "language", "Properties", "JSON", "HTML", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "TypeScript JSX", "PHP", "XML", "CSS", "Ini", "comment", "blank", "total"
"d:\Mg\odzyskajmy-web\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 26, 48, 246
"d:\Mg\odzyskajmy-web\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Mg\odzyskajmy-web\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\Mg\odzyskajmy-web\src\pages\About.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 10, 12, 247
"d:\Mg\odzyskajmy-web\src\pages\Contact.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 5, 20, 286
"d:\Mg\odzyskajmy-web\src\pages\Donate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 1, 2, 58
"d:\Mg\odzyskajmy-web\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 38, 8, 196
"d:\Mg\odzyskajmy-web\src\pages\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"d:\Mg\odzyskajmy-web\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"d:\Mg\odzyskajmy-web\src\pages\ProjectDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 12, 17, 199
"d:\Mg\odzyskajmy-web\src\pages\ProjectSubscription.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 6, 18, 262
"d:\Mg\odzyskajmy-web\src\pages\Projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 3, 7, 73
"d:\Mg\odzyskajmy-web\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Mg\odzyskajmy-web\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 3, 121
"d:\Mg\odzyskajmy-web\tsconfig.app.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"d:\Mg\odzyskajmy-web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Mg\odzyskajmy-web\tsconfig.node.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"d:\Mg\odzyskajmy-web\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 2, 23
"Total", "-", 1, 7618, 89, 102, 62, 19, 403, 6175, 234, 2, 216, 1, 337, 897, 16156
