Date : 2025-05-14 10:00:08
Directory : d:\Mg\odzyskajmy-web
Total : 98 files,  14922 codes, 337 comments, 897 blanks, all 16156 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Mg\odzyskajmy-web\src\pages\ProjectDetail.tsx             | TypeScript JSX     |        170 |         12 |         17 |        199 |
| d:\Mg\odzyskajmy-web\src\pages\ProjectSubscription.tsx       | TypeScript JSX     |        238 |          6 |         18 |        262 |
| d:\Mg\odzyskajmy-web\src\pages\Projects.tsx                  | TypeScript JSX     |         63 |          3 |          7 |         73 |
| d:\Mg\odzyskajmy-web\src\vite-env.d.ts                       | TypeScript         |          0 |          1 |          1 |          2 |
| d:\Mg\odzyskajmy-web\tailwind.config.ts                      | TypeScript         |        118 |          0 |          3 |        121 |
| d:\Mg\odzyskajmy-web\tsconfig.app.json                       | JSON               |         25 |          2 |          4 |         31 |
| d:\Mg\odzyskajmy-web\tsconfig.json                           | JSON with Comments |         19 |          0 |          1 |         20 |
| d:\Mg\odzyskajmy-web\tsconfig.node.json                      | JSON               |         18 |          2 |          3 |         23 |
| d:\Mg\odzyskajmy-web\vite.config.ts                          | TypeScript         |         20 |          1 |          2 |         23 |
| Total                                                        |                    |     14,922 |        337 |        897 |     16,156 |
+--------------------------------------------------------------+--------------------+------------+------------+------------+------------+
